Player_Id,Player_Name,DOB,Batting_Hand,Country
115,RR Raje,03-Sep-86,Right_Hand,India
116,PJ Sangwan,05-Nov-90,Right_Hand,India
117,Mohammad Asif,20-Dec-82,Left_Hand,Pakistan
118,GD McGrath,09-Feb-70,Right_Hand,Australia
119,Joginder Sharma,23-Oct-83,Right_Hand,India
120,MS Gony,04-Jan-84,Right_Hand,India
121,M Muralitharan,17-Apr-72,Right_Hand,Sri Lanka
122,M Ntini,06-Jul-77,Right_Hand,South Africa
123,DT Patil,06-Dec-84,Right_Hand,India
124,A Kumble,17-Oct-70,Right_Hand,India
125,S Anirudha,14-Apr-87,Right_Hand,India
126,MM Patel,12-Jul-83,Right_Hand,India
127,CK Kapugedera,24-Feb-87,Right_Hand,Sri Lanka
128,A Chopra,19-Sep-77,Right_Hand,India
129,T Taibu,14-May-83,Right_Hand,Zimbabwea
130,J Arunkumar,18-Jan-75,Right_Hand,India
131,PP Ojha,05-Sep-86,Left_Hand,India
132,SP Goswami,18-May-89,Left_Hand,India
133,SR Tendulkar,24-Apr-73,Right_Hand,India
134,U Kaul,02-Dec-87,Left_Hand,India
135,TM Dilshan,14-Oct-76,Right_Hand,Sri Lanka
136,A Mishra,24-Nov-82,Right_Hand,India
137,AD Mascarenhas,30-Oct-77,Right_Hand,England
138,NK Patel,26-Mar-81,Left_Hand,India
139,LA Pomersbach,28-Sep-84,Left_Hand,Australia
140,Iqbal Abdulla,02-Dec-89,Left_Hand,India
141,Younis Khan,29-Nov-77,Right_Hand,Pakistan
142,PM Sarvesh Kumar,26-Apr-89,Right_Hand,India
143,DP Vijaykumar,20-Oct-86,Right_Hand,India
144,Shoaib Akhtar,13-Aug-75,Right_Hand,Pakistan
145,Abdur Razzak,15-Jun-82,Left_Hand,Bangladesh
146,H Das,10-Dec-86,Right_Hand,India
147,DR Smith,12-Apr-83,Right_Hand,West Indies
148,SD Chitnis,06-May-87,Right_Hand,India
149,CRD Fernando,19-Jul-79,Right_Hand,Sri Lanka
150,VS Yeligati,23-Apr-85,Right_Hand,India
151,L Balaji,27-Sep-81,Right_Hand,India
152,A Mukund,06-Jan-90,Left_Hand,India
153,RR Powar,20-May-78,Right_Hand,India
154,JP Duminy,14-Apr-84,Left_Hand,South Africa
155,A Flintoff,06-Dec-77,Right_Hand,England
156,T Thushara,01-Mar-81,Left_Hand,Sri Lanka
157,JD Ryder,06-Aug-84,Left_Hand,New Zealand
158,KP Pietersen,27-Jun-80,Right_Hand,South Africa
159,T Henderson,01-Aug-74,Right_Hand,South Africa
160,Kamran Khan,10-Mar-91,Left_Hand,India
161,RS Bopara,04-May-85,Right_Hand,England
162,CH Gayle,21-Sep-79,Left_Hand,West Indies
163,MC Henriques,01-Feb-87,Right_Hand,Australia
164,R Bishnoi,08-Oct-87,Right_Hand,India
165,FH Edwards,06-Feb-82,Right_Hand,West Indies
166,KV Sharma,23-Oct-87,Left_Hand,India
167,PC Valthaty,07-Dec-83,Right_Hand,India
168,RJ Quiney,20-Aug-82,Left_Hand,Australia
169,AS Raut,03-Mar-87,Right_Hand,India
170,Yashpal Singh,27-Nov-81,Right_Hand,India
171,M Manhas,12-Oct-79,Right_Hand,India
172,AA Bilakhia,31-May-86,Right_Hand,India
173,AN Ghosh,19-Oct-86,Right_Hand,India
174,BAW Mendis,11-Mar-85,Right_Hand,Sri Lanka
175,DL Vettori,27-Jan-79,Left_Hand,New Zealand
176,MN van Wyk,20-Mar-79,Right_Hand,South Africa
177,RE van der Merwe,31-Dec-84,Right_Hand,South Africa
178,TL Suman,15-Dec-83,Right_Hand,India
179,Shoaib Ahmed,17-Aug-90,Right_Hand,Pakistan
180,GR Napier,06-Jan-80,Right_Hand,England
181,KP Appanna,20-Dec-88,Right_Hand,India
182,LA Carseldine,17-Nov-75,Left_Hand,Australia
183,NV Ojha,20-Jul-83,Right_Hand,India
184,SM Harwood,01-Mar-74,Right_Hand,Australia
185,M Vijay,01-Apr-84,Right_Hand,India
186,SB Jakati,27-Nov-80,Left_Hand,India
187,DA Warner,27-Oct-86,Left_Hand,Australia
188,RJ Harris,11-Oct-79,Right_Hand,Australia
189,D du Preez,08-Nov-81,Right_Hand,South Africa
190,M Morkel,06-Oct-84,Left_Hand,South Africa
191,AD Mathews,02-Jun-87,Right_Hand,Sri Lanka
192,J Botha,02-May-82,Right_Hand,South Africa
193,C Nanda,29-Mar-79,Right_Hand,India
194,SL Malinga,28-Aug-83,Right_Hand,Sri Lanka
195,Mashrafe Mortaza,05-Oct-83,Right_Hand,Bangladesh
196,A Singh,21-Jun-81,Right_Hand,India
197,GJ Bailey,07-Sep-82,Right_Hand,Australia
198,AB McDonald,05-Jun-81,Right_Hand,Australia
199,Y Nagar,06-Jan-90,Right_Hand,India
200,SS Shaikh,18-Jan-87,Right_Hand,India
201,R Ashwin,17-Sep-86,Right_Hand,India
202,Mohammad Ashraful,07-Jul-84,Right_Hand,Bangladesh
203,CA Pujara,25-Jan-88,Right_Hand,India
204,OA Shah,22-Oct-78,Right_Hand,England
205,Anirudh Singh,02-Aug-80,Left_Hand,India
206,Jaskaran Singh,04-Sep-89,Right_Hand,India
207,AP Tare,07-Nov-87,Right_Hand,India
208,AT Rayudu,23-Sep-85,Right_Hand,India
209,R Sathish,14-Jan-81,Right_Hand,India
210,R McLaren,09-Feb-83,Left_Hand,South Africa
211,AA Jhunjhunwala,01-Dec-82,Right_Hand,India
212,P Dogra,19-Nov-84,Right_Hand,India
213,A Uniyal,21-Nov-81,Left_Hand,India
214,MS Bisla,27-Dec-84,Right_Hand,India
215,YA Abdulla,17-Jan-83,Left_Hand,India
216,EJG Morgan,10-Sep-86,Left_Hand,England
217,JM Kemp,02-Oct-77,Right_Hand,South Africa
218,S Tyagi,17-Sep-87,Right_Hand,India
219,RS Gavaskar,20-Feb-76,Left_Hand,India
220,SE Bond,07-Jun-75,Right_Hand,New Zealand
221,KA Pollard,12-May-87,Right_Hand,West Indies
222,S Ladda,10-Jul-86,Right_Hand,India
223,DP Nannes,16-May-76,Right_Hand,Australia
224,MJ Lumb,12-Feb-80,Left_Hand,England
225,DR Martyn,21-Oct-71,Right_Hand,Australia
226,S Narwal,16-Apr-82,Left_Hand,India
227,AB Barath,14-Apr-90,Right_Hand,India
228,Bipul Sharma,28-Sep-83,Left_Hand,India
229,FY Fazal,07-Sep-85,Left_Hand,India
230,AC Voges,04-Oct-79,Right_Hand,Australia
231,MD Mishra,09-Feb-84,Right_Hand,India
232,UT Yadav,25-Oct-87,Right_Hand,India
233,J Theron,24-Jul-85,Right_Hand,South Africa
234,SJ Srivastava,22-Sep-81,Right_Hand,India
235,R Sharma,30-Apr-87,Right_Hand,India
236,Mandeep Singh,18-Dec-91,Right_Hand,India
237,KM Jadhav,26-Mar-85,Right_Hand,India
238,SW Tait,22-Feb-83,Right_Hand,Australia
239,KB Arun Karthik,15-Feb-86,Right_Hand,India
240,KAJ Roach,30-Jun-88,Right_Hand,West Indies
241,PD Collingwood,26-May-76,Right_Hand,England
242,CK Langeveldt,17-Dec-74,Right_Hand,England
243,VS Malik,09-May-83,Right_Hand,India
244,A Mithun,25-Oct-89,Right_Hand,India
245,AP Dole,09-Oct-87,Right_Hand,India
246,AN Ahmed,05-Nov-88,Right_Hand,India
247,RS Sodhi,18-Oct-80,Right_Hand,India
248,DE Bollinger,24-Jul-81,Left_Hand,Australia
249,S Sriram,21-Feb-76,Left_Hand,India
250,B Sumanth,10-May-88,Right_Hand,India
251,C Madan,15-Oct-82,Right_Hand,India
252,AG Paunikar,18-Apr-88,Right_Hand,India
253,MR Marsh,20-Oct-91,Right_Hand,Australia
254,AJ Finch,17-Nov-86,Right_Hand,Australia
255,STR Binny,03-Jun-84,Right_Hand,India
256,Harmeet Singh,07-Sep-92,Left_Hand,India
257,IR Jaggi,27-Jan-89,Right_Hand,India
258,DT Christian,04-May-83,Right_Hand,Australia
259,RV Gomez,16-Oct-85,Right_Hand,India
260,MA Agarwal,16-Feb-91,Right_Hand,India
261,AUK Pathan,17-Jun-84,Right_Hand,India
262,UBT Chand,26-Mar-93,Right_Hand,India
263,DJ Jacobs,04-Nov-82,Right_Hand,South Africa
264,Sunny Singh,18-Dec-86,Right_Hand,India
265,NJ Rimmington,11-Nov-82,Right_Hand,Australia
266,AL Menaria,29-Oct-90,Left_Hand,India
267,WD Parnell,30-Jul-89,Left_Hand,South Africa
268,JJ van der Wath,10-Jan-78,Right_Hand,South Africa
269,R Ninan,19-Nov-85,Right_Hand,India
270,S Aravind,08-Apr-84,Left_Hand,India
271,MS Wade,26-Dec-87,Left_Hand,Australia
272,TD Paine,08-Dec-84,Right_Hand,Australia
273,SB Wagh,09-Oct-88,Left_Hand,India
